             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay       chi^2_Vud       chi^2_Vus       chi^2_Vub

     93.4400000        5.600000          412.68           29.36         0.02811            3.17           2.489           0.000           0.000           0.000           0.000           1.654          10.302           0.000           0.000           0.000          13.444           3.797           0.000           0.000           0.740           0.312          30.644
     93.4400000        5.605000          411.86           30.47         0.02811            3.13           3.651           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.446           3.784           0.000           0.000           0.750           0.301          29.104
     93.4400000        5.610000          411.09           31.13         0.02811            3.26           7.751           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.467           3.780           0.000           0.000           0.723           0.333          27.275
     93.4400000        5.615000          410.40           32.15         0.02811            3.33           6.965           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.478           3.771           0.000           0.000           0.709           0.350          25.745
     93.4400000        5.620000          409.78           32.98         0.02811            3.38           3.726           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.489           3.768           0.000           0.000           0.700           0.362          24.102
     93.4400000        5.625000          409.23           33.92         0.02811            3.43           1.718           0.000           0.000           0.000           0.000           1.654          10.302           0.000           0.000           0.000          13.501           3.763           0.000           0.000           0.690           0.375          22.578
     93.4400000        5.630000          408.74           34.89         0.02811            3.49           7.563           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.512           3.752           0.000           0.000           0.679           0.390          21.106
     93.4400000        5.635000          408.33           35.84         0.02810            3.50           2.074           0.000           0.000           0.000           0.000           1.654          10.302           0.000           0.000           0.000          13.524           3.750           0.000           0.000           0.679           0.392          19.658
     93.4400000        5.640000          407.97           37.16         0.02811            3.61           5.504           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.531           3.735           0.000           0.000           0.660           0.418          18.474
     93.4400000        5.645000          407.69           37.86         0.02811            3.65           9.674           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.545           3.733           0.000           0.000           0.653           0.429          16.961
     93.4400000        5.650000          407.48           38.97         0.02810            3.68           9.831           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.554           3.725           0.000           0.000           0.651           0.434          15.711
     93.4400000        5.655000          407.34           39.86         0.02811            3.75           1.527           0.000           0.000           0.000           0.000           1.654          10.302           0.000           0.000           0.000          13.568           3.726           0.000           0.000           0.637           0.453          14.402
     93.4400000        5.660000          407.26           40.93         0.02811            3.83           8.369           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.579           3.715           0.000           0.000           0.625           0.471          13.222
     93.4400000        5.665000          407.27           42.07         0.02810            3.87           6.189           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.588           3.709           0.000           0.000           0.620           0.480          12.110
     93.4400000        5.670000          407.34           42.98         0.02810            3.96           9.609           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.602           3.705           0.000           0.000           0.607           0.502          10.947
     93.4400000        5.675000          407.49           44.17         0.02810            4.05           2.723           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.612           3.702           0.000           0.000           0.595           0.522           9.941
     93.4400000        5.680000          407.70           45.25         0.02810            4.12           8.231           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.623           3.694           0.000           0.000           0.586           0.538           8.936
     93.4400000        5.685000          408.00           46.44         0.02810            4.08           9.124           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.633           3.687           0.000           0.000           0.592           0.529           8.006
     93.4400000        5.690000          408.37           47.48         0.02810            4.22           2.622           0.000           0.000           0.000           0.000           1.654          10.302           0.000           0.000           0.000          13.645           3.687           0.000           0.000           0.571           0.564           7.086
     93.4400000        5.695000          408.80           48.61         0.02810            4.29           8.435           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.656           3.679           0.000           0.000           0.564           0.579           6.236
     93.4400000        5.700000          409.32           49.75         0.02810            4.37           3.051           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.667           3.677           0.000           0.000           0.553           0.598           5.438
     93.4400000        5.705000          409.91           50.93         0.02810            4.42           3.547           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.677           3.672           0.000           0.000           0.548           0.608           4.698
     93.4400000        5.710000          410.59           52.07         0.02810            4.51           1.023           0.000           0.000           0.000           0.000           1.655          10.302           0.000           0.000           0.000          13.689           3.672           0.000           0.000           0.536           0.631           4.001
     93.4400000        5.715000          411.44           55.77         0.02810            4.53           2.832           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.666           3.632           0.000           0.000           0.535           0.635           3.834
     93.4400000        5.720000          413.25           55.09         0.02810            4.67           5.192           0.000           0.000           1.094           0.000           1.653          10.302           0.000           0.000           0.000          13.705           3.652           0.000           0.000           0.518           0.668           2.884
     93.4400000        5.725000          414.21           56.34         0.02810            4.70           5.789           0.000           0.000           1.158           0.000           1.653          10.302           0.000           0.000           0.000          13.717           3.647           0.000           0.000           0.516           0.674           2.347
     93.4400000        5.730000          415.25           57.54         0.02808            4.83           4.747           0.000           0.000           1.224           0.000           1.653          10.302           0.000           0.000           0.000          13.727           3.644           0.000           0.000           0.504           0.703           1.858
     93.4400000        5.735000          416.38           58.73         0.02810            4.86           3.343           0.000           0.000           1.293           0.000           1.653          10.302           0.000           0.000           0.000          13.737           3.642           0.000           0.000           0.499           0.710           1.420
     93.4400000        5.740000          417.58           60.05         0.02810            4.97           9.939           0.000           0.000           1.368           0.000           1.653          10.302           0.000           0.000           0.000          13.748           3.635           0.000           0.000           0.487           0.736           1.052
     93.4400000        5.745000          418.87           61.33         0.02810            5.06           1.956           0.000           0.000           1.437           0.000           1.654          10.302           0.000           0.000           0.000          13.759           3.637           0.000           0.000           0.477           0.757           0.734
     93.4400000        5.750000          420.25           62.59         0.02808            5.15           1.683           0.000           0.000           1.516           0.000           1.654          10.302           0.000           0.000           0.000          13.770           3.635           0.000           0.000           0.471           0.777           0.471
     93.4400000        5.755000          421.71           63.87         0.02810            5.23           9.875           0.000           0.000           1.607           0.000           1.653          10.302           0.000           0.000           0.000          13.781           3.627           0.000           0.000           0.461           0.795           0.265
     93.4400000        5.760000          423.25           65.12         0.02809            5.32           2.239           0.000           0.000           1.688           0.000           1.654          10.302           0.000           0.000           0.000          13.793           3.629           0.000           0.000           0.454           0.814           0.117
     93.4400000        5.765000          424.88           66.48         0.02809            5.40           4.262           0.000           0.000           1.780           0.000           1.653          10.302           0.000           0.000           0.000          13.803           3.624           0.000           0.000           0.447           0.833           0.030
     93.4400000        5.770000          426.59           67.78         0.02809            5.49           4.358           0.000           0.000           1.874           0.000           1.653          10.302           0.000           0.000           0.000          13.814           3.622           0.000           0.000           0.438           0.854           0.000
     93.4400000        5.775000          428.39           69.06         0.02808            5.58           9.504           0.000           0.000           1.977           0.000           1.653          10.302           0.000           0.000           0.000          13.825           3.619           0.000           0.000           0.431           0.874           0.031
     93.4400000        5.780000          430.28           70.38         0.02808            5.67           9.854           0.000           0.000           2.080           0.000           1.653          10.302           0.000           0.000           0.000          13.837           3.617           0.000           0.000           0.423           0.894           0.122
     93.4400000        5.785000          432.26           71.67         0.02809            5.76           2.118           0.000           0.000           2.180           0.000           1.654          10.302           0.000           0.000           0.000          13.848           3.620           0.000           0.000           0.415           0.915           0.276
     93.4400000        5.790000          434.33           73.00         0.02809            5.88           2.118           0.000           0.000           2.292           0.000           1.654          10.302           0.000           0.000           0.000          13.859           3.619           0.000           0.000           0.406           0.941           0.491
     93.4400000        5.795000          436.48           74.68         0.02809            5.93           1.736           0.000           0.000           2.399           0.000           1.654          10.302           0.000           0.000           0.000          13.865           3.615           0.000           0.000           0.401           0.952           0.747
     93.4400000        5.800000          438.73           75.62         0.02809            6.04           4.680           0.000           0.000           2.535           0.000           1.653          10.302           0.000           0.000           0.000          13.881           3.615           0.000           0.000           0.393           0.977           1.113
     93.4400000        5.805000          441.07           76.90         0.02809            6.16           1.779           0.000           0.000           2.658           0.000           1.654          10.302           0.000           0.000           0.000          13.893           3.618           0.000           0.000           0.383           1.004           1.524
     93.4400000        5.810000          443.50           78.32         0.02806            6.28           7.483           0.000           0.000           2.796           0.000           1.653          10.302           0.000           0.000           0.000          13.907           3.613           0.000           0.000           0.377           1.030           1.986
     93.4400000        5.815000          446.01           79.26         0.02809            6.39           3.856           0.000           0.000           2.939           0.000           1.653          10.302           0.000           0.000           0.000          13.921           3.619           0.000           0.000           0.365           1.057           2.565
     93.4400000        5.820000          448.63           80.80         0.02809            6.44           9.568           0.000           0.000           3.083           0.000           1.653          10.302           0.000           0.000           0.000          13.928           3.614           0.000           0.000           0.362           1.068           3.150
     93.4400000        5.825000          451.33           82.07         0.02809            6.58           2.135           0.000           0.000           3.224           0.000           1.654          10.302           0.000           0.000           0.000          13.938           3.619           0.000           0.000           0.353           1.098           3.829
     93.4400000        5.830000          454.13           83.27         0.02809            6.66           1.493           0.000           0.000           3.381           0.000           1.654          10.302           0.000           0.000           0.000          13.951           3.622           0.000           0.000           0.347           1.115           4.589
     93.4400000        5.835000          457.03           84.08         0.02809            6.71           6.252           0.000           0.000           3.564           0.000           1.653          10.302           0.000           0.000           0.000          13.967           3.623           0.000           0.000           0.344           1.127           5.476
     93.4400000        5.840000          460.01           85.70         0.02808            6.91           3.837           0.000           0.000           3.721           0.000           1.653          10.302           0.000           0.000           0.000          13.976           3.623           0.000           0.000           0.331           1.172           6.312
     93.4400000        5.845000          463.10           87.03         0.02808            6.99           2.584           0.000           0.000           3.893           0.000           1.654          10.302           0.000           0.000           0.000          13.986           3.625           0.000           0.000           0.326           1.189           7.263
     93.4400000        5.850000          466.28           88.04         0.02808            7.13           5.665           0.000           0.000           4.088           0.000           1.653          10.302           0.000           0.000           0.000          14.000           3.627           0.000           0.000           0.316           1.221           8.336
     93.4400000        5.855000          469.55           89.17         0.02809            7.23           7.539           0.000           0.000           4.283           0.000           1.653          10.302           0.000           0.000           0.000          14.013           3.629           0.000           0.000           0.310           1.242           9.464
     93.4400000        5.860000          472.93           90.21         0.02808            7.37           6.403           0.000           0.000           4.485           0.000           1.653          10.302           0.000           0.000           0.000          14.026           3.633           0.000           0.000           0.302           1.274          10.680
     93.4400000        5.865000          476.39           91.22         0.02807            7.49           3.000           0.000           0.000           4.690           0.000           1.653          10.302           0.000           0.000           0.000          14.038           3.639           0.000           0.000           0.296           1.299          11.979
     93.4400000        5.870000          479.96           92.26         0.02808            7.60           4.806           0.000           0.000           4.912           0.000           1.653          10.302           0.000           0.000           0.000          14.052           3.642           0.000           0.000           0.288           1.325          13.346
